Province,Destination,Occupation,Skill_Level,Sex,Age_Group,Mode_of_Approval,Risk_Score,Risk_Category,Injury_Probability,Illness_Probability,Injury_Occurred,Illness_Occurred,Years_Experience,Monthly_Salary_USD,Contract_Duration_Months
Sudurpashchim,Malaysia,Cleaning,Unskilled,Male,18-24,Recruitment Agency,5,Medium,0.066,0.116,0,0,6,1069,24
Karnali,Oman,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,8,High,0.229,0.265,1,0,3,1131,12
Lumbini,Saudi Arabia,Healthcare,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.147,0.181,0,0,7,808,24
Bagmati,Qatar,Hospitality,Unskilled,Male,18-24,Recruitment Agency,6,Medium,0.102,0.155,0,0,4,569,24
Sudurpashchim,Japan,Driving,Unskilled,Male,35-44,Recruitment Agency,3,Low,0.026,0.036,0,0,9,1480,24
Province 1,South Korea,Healthcare,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.132,0.171,1,0,9,1351,24
Gandaki,UAE,Construction,Unskilled,Male,35-44,Recruitment Agency,9,High,0.259,0.296,1,0,1,1328,12
Sudurpashchim,Bahrain,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.094,0.12,0,0,5,530,12
Bagmati,Malaysia,Cleaning,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.138,0.162,0,0,4,489,12
Province 1,South Korea,Hospitality,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.03,0.045,0,0,6,1436,12
Madhesh,Malaysia,Hospitality,Unskilled,Male,25-34,Regularisation,6,Medium,0.065,0.2,0,1,1,684,12
Madhesh,Kuwait,Hospitality,Unskilled,Male,25-34,Recruitment Agency,8,High,0.251,0.314,0,0,6,1281,12
Province 1,South Korea,Hospitality,Unskilled,Male,18-24,Recruitment Agency,4,Medium,0.109,0.168,0,0,4,788,24
Sudurpashchim,UAE,Construction,Skilled,Male,25-34,Recruitment Agency,8,High,0.289,0.332,0,0,1,301,36
Karnali,Kuwait,Cleaning,Skilled,Male,35-44,Recruitment Agency,3,Low,0.024,0.064,0,0,1,403,24
Bagmati,South Korea,Manufacturing,Skilled,Male,25-34,Recruitment Agency,2,Low,0.032,0.062,0,0,5,1115,24
Sudurpashchim,Saudi Arabia,Construction,Unskilled,Male,25-34,Regularisation,10,High,0.205,0.24,0,0,2,1097,24
Sudurpashchim,Qatar,Cleaning,Unskilled,Male,45+,Recruitment Agency,8,High,0.265,0.207,0,0,9,1360,36
Province 1,Kuwait,Healthcare,Skilled,Male,25-34,Recruitment Agency,3,Low,0.022,0.031,0,0,6,869,36
Karnali,Japan,Domestic Work,Skilled,Female,25-34,Recruitment Agency,7,High,0.188,0.244,1,0,7,1058,12
Madhesh,South Korea,Cleaning,Unskilled,Male,25-34,Individual,4,Medium,0.069,0.107,0,1,2,1133,12
Sudurpashchim,Oman,Manufacturing,Unskilled,Male,25-34,Individual,5,Medium,0.134,0.186,0,0,5,1292,24
Gandaki,Kuwait,Healthcare,Unskilled,Male,35-44,Regularisation,5,Medium,0.104,0.164,0,0,1,419,12
Gandaki,UK,Healthcare,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.043,0.062,0,0,6,859,12
Lumbini,Kuwait,Construction,Skilled,Male,18-24,Recruitment Agency,7,High,0.215,0.31,1,1,5,1370,12
Karnali,Malaysia,Cleaning,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.097,0.117,0,0,2,1061,36
Province 1,Japan,Cleaning,Skilled,Male,25-34,Recruitment Agency,1,Low,0.048,0.072,0,0,1,1256,12
Lumbini,Saudi Arabia,Construction,Skilled,Female,18-24,Recruitment Agency,6,Medium,0.057,0.11,0,1,8,904,24
Madhesh,UAE,Manufacturing,Unskilled,Male,18-24,Recruitment Agency,9,High,0.202,0.34,0,0,5,756,12
Bagmati,Qatar,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,9,High,0.237,0.33,0,0,3,1172,12
Province 1,Malaysia,Construction,Unskilled,Male,35-44,Recruitment Agency,8,High,0.158,0.344,0,0,4,1150,12
Lumbini,Kuwait,Manufacturing,Semi-skilled,Male,35-44,Recruitment Agency,5,Medium,0.125,0.179,0,1,5,1486,24
Bagmati,UAE,Healthcare,Unskilled,Male,35-44,Individual,5,Medium,0.06,0.108,0,0,5,328,12
Bagmati,Japan,Cleaning,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.141,0.159,0,0,7,390,12
Bagmati,Bahrain,Driving,Unskilled,Male,18-24,Recruitment Agency,3,Low,0.012,0.027,0,0,9,1123,12
Lumbini,Oman,Domestic Work,Unskilled,Female,35-44,Recruitment Agency,7,High,0.198,0.207,0,0,9,346,24
Karnali,Qatar,Cleaning,Skilled,Male,45+,Recruitment Agency,6,Medium,0.055,0.128,0,0,8,1445,12
Madhesh,Japan,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,7,High,0.296,0.348,0,0,3,689,36
Lumbini,South Korea,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,7,High,0.157,0.204,0,1,5,362,12
Bagmati,Qatar,Cleaning,Unskilled,Male,35-44,Recruitment Agency,7,High,0.191,0.208,0,0,5,1346,24
Lumbini,UK,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.063,0.195,0,0,8,453,12
Karnali,Oman,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,7,High,0.295,0.213,0,0,5,1152,24
Bagmati,Saudi Arabia,Healthcare,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.111,0.164,0,0,1,1283,36
Karnali,Bahrain,Domestic Work,Skilled,Female,25-34,Recruitment Agency,7,High,0.289,0.274,0,0,3,410,12
Sudurpashchim,Oman,Hospitality,Unskilled,Male,45+,Recruitment Agency,5,Medium,0.137,0.152,0,0,2,903,12
Karnali,Kuwait,Driving,Unskilled,Male,25-34,Recruitment Agency,7,High,0.284,0.219,1,0,6,538,12
Bagmati,Qatar,Domestic Work,Skilled,Male,25-34,Recruitment Agency,7,High,0.178,0.231,0,0,8,664,12
Bagmati,Japan,Manufacturing,Skilled,Male,35-44,Recruitment Agency,2,Low,0.04,0.022,0,0,7,784,12
Sudurpashchim,South Korea,Construction,Unskilled,Male,25-34,Recruitment Agency,7,High,0.284,0.289,0,1,6,333,12
Province 1,Saudi Arabia,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,9,High,0.241,0.237,0,1,5,923,12
